"picnum","picname","name","goodrt","noname","type","lex4","rttar","syll","char","lnfreq"
"obj408","snail","snail",0.98,0,2,0.02,918,1,5,1.609
"obj409","snake","snake",0.96,0,1,0,775,1,5,3.178
"obj410","snowman","snowman",0.98,0,1,0,920,2,7,0
"obj411","sock","sock",0.96,0,1,0,712,1,4,2.944
"obj412","couch","couch",1,0,3,0.02,828,1,5,2.398
"obj413","soldier","soldier",0.96,0,11,0.29,1170,2,7,4.431
"obj414","spaghetti","spaghetti",1,0,3,0.06,903,3,9,1.792
"obj415","spatula","spatula",0.84,0.14,5,0.14,1472,3,7,0
"obj416","spider","spider",0.98,0,1,0,907,2,6,2.079
"obj417","thread","thread",0.98,0,7,0.29,1426,1,6,2.833
"obj418","spoon","spoon",0.98,0,1,0,777,1,5,2.773
"obj419","squirrel","squirrel",1,0,3,0.12,1234,2,8,1.946
"obj420","stairs","stairs",1,0,4,0,1011,1,6,3.807
"obj421","statue","statue",0.98,0.02,4,0.04,1214,2,6,3.178
"obj422","steeringwheel","steeringwheel",1,0,2,0,1158,3,13,0
"obj423","stethoscope","stethoscope",0.92,0.06,4,0.07,1209,3,11,0.693
"obj424","stocking","stocking",0.98,0,9,0.06,1218,2,8,2.565
"obj425","stool","stool",0.96,0,2,0.17,973,1,5,2.565
"obj426","stove","stove",1,0,3,0.02,1122,1,5,3.045
"obj427","strawberry","strawberry",0.98,0,1,0,1052,3,10,1.946
"obj428","stroller","stroller",0.88,0.1,4,0.11,1346,2,8,0.693
"obj429","submarine","submarine",0.98,0,3,0.12,1145,3,9,2.89
"obj430","suitcase","suitcase",0.96,0,4,0.17,902,2,8,2.996
"obj431","sun","sun",1,0,1,0,762,1,3,5.03
"obj432","swan","swan",0.94,0,3,0.26,1049,1,4,2.079
"obj433","sweater","sweater",0.94,0.02,4,0.45,1122,2,7,2.773
"obj434","swing","swing",0.98,0,2,0,942,1,5,2.944
"obj435","sword","sword",1,0,4,0.06,1084,1,5,2.89
"obj436","needle","needle",0.96,0.02,5,0.08,1169,2,6,2.833
"obj437","table","table",1,0,2,0.02,852,2,5,5.464
"obj438","tail","tail",0.96,0.02,6,0.13,1383,1,4,3.611
"obj439","tank","tank",0.84,0.12,5,0.1,1155,1,4,3.689
"obj440","taperecorder","taperecorder",0.96,0.04,6,0.06,1009,4,12,1.099
"obj441","teapot","teapot",1,0,8,0.14,1085,2,6,1.609
"obj442","tear","tear",0.96,0.02,8,0.42,1134,1,4,4.094
"obj443","teepee","teepee",0.94,0.02,4,0.28,1167,2,6,0
"obj444","teeth","teeth",0.96,0.02,2,0,949,1,5,1.386
"obj445","telephone","telephone",1,0,2,0,752,3,9,4.663
"obj446","telescope","telescope",0.98,0.02,2,0.02,1011,3,9,2.197
"obj447","tv","tv",0.98,0,2,0,786,2,2,0
