Duration,Age,Gender,Gender_comfortable_1,Gender_masc_1,Gender_fem_1,Gender_stability_1,Sexual_strength_1,Sexual_fewq_1,Sexual_gender_1,Romantic_strength_1,Romantic_freq_1,Romantic_gender_1
196,19,Female,9,2,8,9,9,9,6,9,9,9
151,18,Female,9,5,7,9,5,3,9,8,3,9
93,18,Other,3,6,4,2,7,6,1,9,7,1
203,21,Female,9,6,4,5,2,3,8,3,3,6
256,19,Female,9,4,8,9,9,7,9,9,7,8
135,20,Female,9,4,7,9,9,7,6,9,9,9
210,19,Female,9,2,7,9,7,6,9,8,7,9
222,25,Male,9,3,7,9,7,5,3,9,3,1
128,19,Male,9,4,6,7,8,9,9,5,3,8
143,19,Female,9,2,7,9,7,7,8,9,7,9
103,18,Female,9,5,2,9,9,7,9,7,5,9
85,19,Female,9,2,8,9,8,5,9,8,7,9
769,19,Female,9,2,7,9,9,9,7,4,3,8
123,19,Male,9,6,2,9,4,2,5,3,3,5
199,19,Female,9,3,7,9,8,5,3,9,9,3
152,19,Female,9,3,7,3,3,3,NA,7,4,4
154,18,Female,9,1,7,8,8,5,8,9,3,8
242,21,Male,9,7,2,9,7,6,2,4,4,3
430,18 years,Female,9,1,9,9,7,6,9,7,6,9
194,19,Female,9,3,8,9,8,6,8,9,4,8
186,20,Female,9,5,5,8,6,4,7,7,3,8
252,21,Female,9,2,7,9,9,3,8,9,5,9
213,19,Female,9,2,8,9,9,9,6,9,3,6
142,18,Female,9,3,7,9,9,2,9,7,5,9
369,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,19,Female,9,1,8,9,8,7,9,8,6,9
87,18,Female,9,2,8,9,2,1,5,7,6,5
86,19,Female,9,4,5,6,3,3,5,2,2,7
105,18,Female,9,4,7,9,9,9,9,9,7,9
71,18,Female,9,6,6,9,9,2,6,9,4,6
120,20,Female,9,2,6,8,9,8,8,9,8,8
209,22,Female,9,4,8,9,9,9,9,2,2,9
119,19,Male,9,5,5,9,9,9,9,9,9,9
762,18,Female,8,2,8,7,7,7,8,8,6,8
82,18,Female,9,4,6,9,5,3,9,9,7,9
91,18,Female,9,2,8,9,9,8,9,8,8,9
121,526,Female,9,3,7,9,7,6,8,6,6,9
142,18,Female,9,2,7,9,8,7,9,6,5,8
854,18,Female,9,2,7,9,7,5,7,8,6,7
160,19,Female,9,3,7,9,7,6,3,7,7,3
109,20,Female,9,2,8,9,8,8,9,9,9,9
149,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,19,Female,9,3,8,9,9,9,7,9,9,9
74,18,Female,9,2,7,8,9,9,6,9,9,8
142,21,Female,7,4,7,8,9,9,7,9,9,8
129,20,Female,8,3,7,7,9,9,8,9,7,7
216,19,Female,9,2,7,8,8,7,9,8,7,8
186,18,Female,9,4,6,7,8,8,7,8,8,8
67632,18,Female,9,4,5,9,7,3,6,5,4,4
104,18,Male,8,5,5,6,7,6,2,7,4,1
107,23,Female,9,4,7,8,8,7,7,9,4,8
769,219,Female,9,2,7,9,9,9,7,4,3,8
399,19,Female,9,4,7,9,7,5,9,7,5,9
123,18,Female,9,3,7,9,8,5,8,8,5,9
386,18,Male,9,6,6,9,7,5,2,7,4,1
285,19,Female,9,3,8,8,8,5,9,7,6,9
202,22,Female,9,3,7,8,8,7,7,8,8,8
101,20,Female,8,1,9,9,9,6,9,9,6,9
352,20,Female,9,3,7,9,7,5,6,8,6,6
107,19,Female,9,3,6,9,4,3,8,2,1,9
163,19,Female,5,6,6,2,4,3,3,5,2,2
121,20,Female,9,3,7,9,7,6,8,6,6,9
304,19,Female,9,5,6,8,4,4,9,3,4,9
94,20,Female,9,3,6,9,8,7,9,8,7,9
170,19,Male,9,9,1,9,9,8,1,8,7,1
862,21,Female,9,3,6,9,6,5,8,4,3,7
220,19,Female,7,4,5,7,9,9,6,7,8,5
109,19,Female,9,2,7,9,8,6,8,9,8,9
178,19,Female,9,4,7,9,8,7,8,9,6,9
356,21,Female,9,5,5,9,9,2,7,9,4,7
148,20,Female,9,4,5,8,7,6,7,8,7,8
113,20,Female,9,6,5,9,8,6,7,9,6,5
124,19,Female,9,2,6,9,5,4,8,3,2,8
