"ID","gender","age","N","E","O","A","C","anx","PD","DL","SUP"
"ID1246",0,2,3.75,2.86,4.2,2.5,3.44,4.62,2.6,3,2.88
"ID1247",1,2,2.25,2.14,4.1,4.75,3.56,4.52,2,3.13,3.13
"ID1248",0,2,3.88,2.43,3.8,3.38,3.56,3.7,3,3.13,2.88
"ID1249",1,2,2.88,4.14,4.8,4,3.22,4.9,4,2.88,1.38
"ID1250",0,2,2,3.57,4.5,4.5,4.44,3.38,2.6,3.88,3.13
"ID1251",1,2,2.88,2.57,2.7,3.63,2.56,5.21,3,2.88,2.88
"ID1252",1,2,4.13,4.43,4.7,4.63,4.11,4.78,3,3.38,1.5
"ID1253",1,2,1.5,3.57,3.4,4.5,4.67,3.84,2.8,2.63,2.5
"ID1254",0,2,2.38,1.86,3.6,3.75,3.44,3.16,2.6,3,2.75
"ID1255",0,2,2.5,4,4.2,4.38,3.67,3.72,3.8,3.5,3.25
"ID1256",1,2,3.5,3.14,4,4.25,3.67,5.21,2.8,2.63,2.63
"ID1257",1,2,3,3.43,4,3.88,4.11,5.18,3.4,3.5,3.13
"ID1258",0,2,2,3.86,4.4,4.13,4.78,3.32,3.2,3.63,3.38
"ID1259",1,1,2.63,4.14,3.3,3.88,3,4.21,2.4,2.5,2.38
"ID1260",1,1,1.5,4,3,3.63,4.78,3.13,2.6,3.88,3.25
"ID1261",0,1,1.88,3.71,3.9,4.63,4.33,4.89,3,2.63,3
"ID1262",1,1,1.13,4.29,4.6,4.5,4.44,4.14,2.6,4,3.75
"ID1263",0,1,2.5,4,2.5,3.5,4.33,3.66,3,2.38,3
"ID1264",1,1,2.88,3.14,3.4,3.25,3.78,4.71,3,2.13,2.88
"ID1265",1,1,2.13,4.29,3.7,4.25,3.33,4.03,2.2,3,2.88
"ID1266",1,1,3.5,3.71,4.2,3.5,4.44,3.82,2.4,3.75,3.25
"ID1267",1,1,4,3.86,4.7,3.5,2.22,4.52,2.8,3.63,3.25
"ID1268",0,1,2.75,2.57,4.4,4.88,4.44,3.93,2.4,3.13,3.38
"ID1269",1,1,3.88,2.29,2,3.25,3.78,5.19,3,2,2
"ID1270",1,1,3.38,2,3.9,4,2.56,5.63,2.2,2.5,2.75
"ID1271",1,1,3.75,1.86,2.6,3.5,3.44,4.46,3,2.75,3.5
"ID1272",1,1,1.5,4.43,3.8,4.5,3.44,2.46,2,2.88,2.75
"ID1273",1,1,3,4.43,4.4,3.63,4.56,3.61,2.8,3.25,3.75
"ID1274",1,1,2.13,2,3.4,5,4.67,2.91,2.4,3.25,3.63
"ID1275",1,1,2.63,4.86,4.3,4.75,4.67,3.6,2.8,3.25,3
"ID1276",0,1,2.75,3.71,4.1,2.75,3.89,4.1,2,1.5,2.25
"ID1277",0,1,2.13,3.29,3.9,3.63,4.89,3.39,3.6,3.75,3.5
"ID1278",0,1,2.88,4.14,3.9,3.25,4.11,3.29,2.8,3.13,2.88
"ID1279",1,1,3.5,3.43,3.5,4.38,4.22,5.03,2.4,2.25,2.38
"ID1280",0,1,1.25,3.14,4.3,3.63,3.67,3.9,2.8,2.88,2.5
"ID1281",1,1,3.38,4.43,3.8,4.38,4.33,4.27,2.6,2.5,3.25
"ID1282",0,1,2.88,2.57,3.2,3.75,3.11,4.86,2.6,2.25,2.88
"ID1283",1,1,3.63,2,3.8,3.5,3.67,5.97,3.4,2.88,0.75
"ID1284",0,1,2.75,5,4.2,4.5,4.78,4.3,3.8,2.75,3.13
"ID1285",0,1,2.75,2.14,3.3,3.88,3.11,4.06,2.8,2.38,2.63
"ID1286",0,1,3.25,3.29,3.6,3,3.33,2.46,3.6,3.25,2.38
"ID1287",0,1,1.5,2.14,3.9,4.38,4.22,4.55,2.4,3.13,3.75
"ID1288",1,1,2.88,3.29,4.1,4.5,4.78,6.07,4,1.5,1.88
"ID1289",0,1,1.63,2.14,4.4,3.63,3.33,3.62,3.8,3.75,3.25
"ID1290",0,1,4.38,3,4.4,3.88,3.11,5.53,3,2.5,3.5
"ID1291",0,1,2.38,4.29,4.4,3.25,4.11,3.33,3.4,3,3.13
"ID1292",0,1,2.63,2.71,3.7,3.88,3.33,3.87,3.6,2.38,2.38
"ID1293",0,1,1.63,4.14,3.9,3.88,4.11,4.05,2.4,3.63,1.5
"ID1294",1,1,2.38,3.57,3,3.25,4,5.07,3.2,3.13,1.88
"ID1295",0,1,1.75,3.86,3,3.88,2.89,3.49,2.6,2.88,3
"ID1296",1,1,3.38,4.57,4.2,3.63,4,4.27,2.8,3.13,1.5
"ID1297",0,1,1.25,4,4.9,3.38,1.78,4.13,2.2,3.5,2.63
"ID1298",0,1,2.88,3.14,3.6,4.25,3.89,4.78,3,3.13,2.5
"ID1299",0,1,3,3.71,3.5,2.88,3.78,5.37,2.6,2,3.13
"ID1300",0,1,1.5,3.71,3.8,4.38,4.67,2.82,2.8,3.25,3.5
"ID1301",0,1,2.88,2.29,2.7,4.5,3.11,4.43,2.8,2.63,2.88
"ID1302",1,1,3.63,1.57,3.6,4.38,3,4.43,3,3.25,3
"ID1303",1,1,4.13,3,3.5,2.88,3.11,3.07,2.2,2.88,2.88
"ID1304",1,1,2.88,3.86,3.5,4.13,4.11,4.15,2.6,2.38,3.5
